CECC87,2,k5,10012,10012,10011,,,,,,
CFC578,8,k1,10028,10028,10027,10026,10025,10024,10023,10022,10021
A6A961,3,S2,10033,10033,10032,10031,,,,,
A19B44,6,S3,10046,10046,10045,10044,10043,10042,10041,,
7C805E,1,S6,10051,10051,,,,,,,
ABB968,2,B3,10062,10062,10061,,,,,,
86A564,1,E1,10071,10071,,,,,,,
6E8F43,1,G3,10081,10081,,,,,,,
738347,3,G2,10093,10093,10092,10091,,,,,
4E8147,2,B5,10102,10102,10101,,,,,,
8DA087,2,B2,10112,10112,10111,,,,,,
647261,1,B4,10121,10121,,,,,,,
6A7150,1,E5,10131,10131,,,,,,,
2A534B,5,B1,10145,10145,10144,10143,10142,10141,,,
3E5E6C,2,B6,10152,10152,10151,,,,,,
2B5131,5,B5,10165,10165,10164,10163,10162,10161,,,
1D3A1E,2,B8,10172,10172,10171,,,,,,
C5D6D5,2,P1,10182,10182,10181,,,,,,
A6BFCE,4,M3,10194,10194,10193,10192,10191,,,,
85A3CD,2,P2,10202,10202,10201,,,,,,
8098B3,2,P3,10212,10212,10211,,,,,,
B9C5DC,2,P5,10222,10222,10221,,,,,,
B0B3C8,2,P6,10232,10232,10231,,,,,,
5B83BF,1,P7,10241,10241,,,,,,,
717DAC,1,M4,10251,10251,,,,,,,
445877,2,M5,10262,10262,10261,,,,,,
3A456B,2,M6,10272,10272,10271,,,,,,
D6BAC0,1,V4,10281,10281,,,,,,,
BDA3A4,2,弦樂撥奏,10292,10292,10291,,,,,,
A07983,1,V5,10301,10301,,,,,,,
796A82,2,V1,10312,10312,10311,,,,,,
4C4767,1,弦樂拉奏,10321,10321,,,,,,,
4C4755,3,V2,10333,10333,10332,10331,,,,,
797E82,1,R2,10341,10341,,,,,,,
393A3A,1,R3,10351,10351,,,,,,,
161512,3,R7,10363,10363,10362,10361,,,,,
FEFCEE,1,C1,10371,10371,,,,,,,
F9F1D9,2,C2,10382,10382,10381,,,,,,
F7F0DF,1,C4,10391,10391,,,,,,,
EAE5D7,1,W1,10401,10401,,,,,,,
DDC3A7,1,C6,10411,10411,,,,,,,
DECCA7,1,C7,10421,10421,,,,,,,
CDAE97,1,C8,10431,10431,,,,,,,
9C7C6D,2,W3,10442,10442,10441,,,,,,
B88963,3,W4,10453,10453,10452,10451,,,,,
AD6541,4,C5,10464,10464,10463,10462,10461,,,,
B77D71,2,銅管,10472,10472,10471,,,,,,
8B5A5A,2,銅管,10482,10482,10481,,,,,,
5C323B,1,BR1,10491,10491,,,,,,,
41292F,2,銅管,10502,10502,10501,,,,,,
